,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2018-02-01,64.22,60.94,63.47,63.24
1,2018-03-01,64.28,60.7,63.25,63.56
2,2018-04-01,64.85,62.72,63.69,62.45
3,2018-05-01,64.83,62.77,63.5,62.65
4,2018-06-01,64.96,62.72,63.5,63.12
5,2018-07-01,64.95,62.71,63.49,63.1
6,2018-08-01,64.65,62.39,63.38,62.74
7,2018-09-01,64.61,62.38,63.3,62.99
8,2018-10-01,64.61,62.36,63.29,63.03
9,2018-11-01,64.51,62.1,63.4,62.86
