,timestamp,esgScore,governanceScore,environmentScore,socialScore
0,2014-09-01,41.0,42.0,47.0,37.0
1,2014-10-01,41.0,42.0,47.0,37.0
2,2014-11-01,41.0,42.0,47.0,37.0
3,2014-12-01,41.0,42.0,47.0,37.0
4,2015-01-01,41.0,42.0,47.0,37.0
5,2015-02-01,41.0,42.0,47.0,37.0
6,2015-03-01,41.0,42.0,49.0,37.0
7,2015-04-01,41.0,42.0,49.0,37.0
8,2015-05-01,41.0,42.0,49.0,37.0
9,2015-06-01,41.0,42.0,49.0,37.0
10,2015-07-01,43.0,46.0,49.0,38.0
11,2015-08-01,43.0,46.0,49.0,38.0
12,2015-09-01,43.0,46.0,49.0,38.0
13,2015-10-01,42.0,46.0,49.0,36.0
14,2015-11-01,42.0,46.0,49.0,36.0
15,2015-12-01,42.0,46.0,49.0,36.0
16,2016-01-01,41.95,46.18,48.87,36.38
17,2016-02-01,41.95,46.18,48.87,36.38
18,2016-03-01,41.95,46.18,48.87,36.38
19,2016-04-01,42.09,50.98,48.88,34.24
20,2016-05-01,44.74,51.78,48.88,39.15
21,2016-06-01,45.14,51.78,50.48,39.15
22,2016-07-01,45.54,51.78,52.08,39.15
23,2016-08-01,42.6,51.78,52.08,33.27
24,2016-09-01,44.7,51.78,52.08,37.46
25,2016-10-01,44.7,51.78,52.08,37.46
26,2016-11-01,44.7,51.78,52.08,37.46
27,2016-12-01,44.7,51.78,52.08,37.46
28,2017-01-01,45.84,56.34,52.08,37.46
29,2017-02-01,45.84,56.34,52.08,37.46
30,2017-03-01,47.96,53.34,57.03,40.73
31,2017-04-01,47.96,53.34,57.03,40.73
32,2017-05-01,48.16,53.34,57.83,40.73
33,2017-06-01,48.16,53.34,57.83,40.73
34,2017-07-01,48.16,53.34,57.83,40.73
35,2017-08-01,48.16,53.34,57.83,40.73
36,2017-09-01,48.16,53.34,57.83,40.73
37,2017-10-01,48.12,54.78,59.25,39.23
38,2017-11-01,48.12,54.78,59.25,39.23
39,2017-12-01,48.12,54.78,59.25,39.23
40,2018-01-01,48.12,54.78,59.25,39.23
41,2018-02-01,48.12,54.78,59.25,39.23
42,2018-03-01,50.69,53.98,58.53,45.13
43,2018-04-01,49.19,53.98,58.53,42.13
44,2018-05-01,49.19,53.98,58.53,42.13
45,2018-06-01,49.19,53.98,58.53,42.13
46,2018-07-01,49.19,53.98,58.53,42.13
47,2018-08-01,49.19,53.98,58.53,42.13
48,2018-09-01,50.69,53.98,58.53,45.13
49,2018-10-01,50.69,53.98,58.53,45.13
50,2018-11-01,50.45,53.02,58.53,45.13
51,2018-12-01,50.45,53.02,58.53,45.13
52,2019-01-01,50.45,53.02,58.53,45.13
53,2019-02-01,50.37,52.7,58.53,45.13
54,2019-03-01,50.37,52.7,58.53,45.13
